generation,fe,point_id,makespan,energy
0,100,1,68.0,6324.0
0,100,2,70.0,5959.0
1,200,1,64.0,6097.0
1,200,2,66.0,5935.0
1,200,3,87.0,5771.0
2,300,1,60.0,6044.0
2,300,2,63.0,5714.0
3,400,1,60.0,6044.0
3,400,2,63.0,5714.0
3,400,3,82.0,5683.0
4,500,1,58.0,6003.0
4,500,2,60.0,5986.0
4,500,3,62.0,5882.0
4,500,4,63.0,5714.0
4,500,5,71.0,5704.0
4,500,6,82.0,5683.0
4,500,7,83.0,5370.0
5,600,1,57.0,5736.0
5,600,2,61.0,5528.0
5,600,3,83.0,5370.0
6,700,1,56.0,5498.0
6,700,2,62.0,5389.0
6,700,3,67.0,5274.0
7,800,1,55.0,5434.0
7,800,2,62.0,5389.0
7,800,3,67.0,5216.0
8,900,1,51.0,5497.0
8,900,2,55.0,5434.0
8,900,3,57.0,5272.0
8,900,4,63.0,5250.0
8,900,5,67.0,5216.0
9,1000,1,51.0,5497.0
9,1000,2,53.0,5451.0
9,1000,3,55.0,5434.0
9,1000,4,56.0,5382.0
9,1000,5,57.0,5185.0
9,1000,6,66.0,5065.0
10,1100,1,51.0,5497.0
10,1100,2,53.0,5306.0
10,1100,3,57.0,5185.0
10,1100,4,58.0,5075.0
10,1100,5,66.0,5065.0
10,1100,6,69.0,4996.0
11,1200,1,51.0,5497.0
11,1200,2,53.0,5190.0
11,1200,3,57.0,5098.0
11,1200,4,58.0,5075.0
11,1200,5,66.0,5065.0
11,1200,6,69.0,4996.0
12,1300,1,51.0,5091.0
12,1300,2,52.0,4981.0
12,1300,3,65.0,4972.0
13,1400,1,51.0,5091.0
13,1400,2,52.0,4981.0
13,1400,3,53.0,4900.0
14,1500,1,51.0,5091.0
14,1500,2,52.0,4981.0
14,1500,3,53.0,4871.0
14,1500,4,54.0,4848.0
15,1600,1,48.0,4841.0
16,1700,1,48.0,4841.0
16,1700,2,51.0,4830.0
16,1700,3,54.0,4790.0
17,1800,1,48.0,4841.0
17,1800,2,51.0,4830.0
17,1800,3,54.0,4790.0
18,1900,1,47.0,4806.0
18,1900,2,52.0,4749.0
19,2000,1,47.0,4806.0
19,2000,2,50.0,4766.0
19,2000,3,52.0,4749.0
20,2100,1,46.0,4771.0
20,2100,2,50.0,4766.0
20,2100,3,52.0,4749.0
21,2200,1,46.0,4771.0
21,2200,2,50.0,4737.0
22,2300,1,46.0,4771.0
22,2300,2,47.0,4748.0
22,2300,3,50.0,4737.0
23,2400,1,46.0,4771.0
23,2400,2,47.0,4719.0
24,2500,1,46.0,4771.0
24,2500,2,47.0,4719.0
25,2600,1,46.0,4771.0
25,2600,2,47.0,4719.0
26,2700,1,46.0,4742.0
26,2700,2,47.0,4719.0
