generation,fe,point_id,makespan,energy
0,100,1,65.0,6132.0
0,100,2,79.0,6071.0
0,100,3,82.0,6002.0
1,200,1,65.0,6132.0
1,200,2,68.0,6063.0
1,200,3,76.0,5966.0
2,300,1,62.0,5969.0
2,300,2,63.0,5308.0
3,400,1,62.0,5969.0
3,400,2,63.0,5308.0
4,500,1,62.0,5969.0
4,500,2,63.0,5308.0
5,600,1,57.0,5678.0
5,600,2,58.0,5539.0
5,600,3,61.0,5093.0
6,700,1,54.0,5312.0
6,700,2,61.0,5093.0
7,800,1,53.0,5451.0
7,800,2,54.0,5254.0
7,800,3,57.0,5214.0
7,800,4,58.0,4930.0
8,900,1,50.0,5491.0
8,900,2,53.0,5219.0
8,900,3,54.0,5109.0
8,900,4,56.0,4976.0
8,900,5,58.0,4930.0
9,1000,1,50.0,5491.0
9,1000,2,52.0,5155.0
9,1000,3,54.0,5051.0
9,1000,4,56.0,4976.0
9,1000,5,58.0,4930.0
10,1100,1,50.0,5433.0
10,1100,2,52.0,5155.0
10,1100,3,53.0,5132.0
10,1100,4,54.0,5051.0
10,1100,5,55.0,4970.0
10,1100,6,58.0,4930.0
11,1200,1,48.0,5247.0
11,1200,2,49.0,5224.0
11,1200,3,51.0,5178.0
11,1200,4,52.0,4981.0
11,1200,5,55.0,4970.0
11,1200,6,56.0,4947.0
11,1200,7,58.0,4930.0
12,1300,1,47.0,5444.0
12,1300,2,48.0,5247.0
12,1300,3,49.0,5224.0
12,1300,4,51.0,5091.0
12,1300,5,52.0,4981.0
12,1300,6,55.0,4970.0
12,1300,7,56.0,4889.0
12,1300,8,60.0,4826.0
13,1400,1,47.0,5444.0
13,1400,2,48.0,5247.0
13,1400,3,49.0,5224.0
13,1400,4,51.0,5062.0
13,1400,5,52.0,4981.0
13,1400,6,53.0,4929.0
13,1400,7,55.0,4912.0
13,1400,8,56.0,4889.0
13,1400,9,58.0,4872.0
13,1400,10,60.0,4826.0
14,1500,1,47.0,5444.0
14,1500,2,48.0,5247.0
14,1500,3,49.0,5224.0
14,1500,4,51.0,5062.0
14,1500,5,52.0,4923.0
14,1500,6,54.0,4906.0
14,1500,7,56.0,4889.0
14,1500,8,58.0,4843.0
14,1500,9,60.0,4826.0
15,1600,1,47.0,5444.0
15,1600,2,48.0,5044.0
15,1600,3,52.0,4923.0
15,1600,4,54.0,4906.0
15,1600,5,56.0,4889.0
15,1600,6,57.0,4837.0
15,1600,7,59.0,4820.0
16,1700,1,47.0,5444.0
16,1700,2,48.0,5044.0
16,1700,3,51.0,4975.0
16,1700,4,52.0,4923.0
16,1700,5,54.0,4906.0
16,1700,6,56.0,4889.0
16,1700,7,57.0,4837.0
16,1700,8,59.0,4820.0
17,1800,1,47.0,5444.0
17,1800,2,48.0,5044.0
17,1800,3,51.0,4946.0
17,1800,4,52.0,4923.0
17,1800,5,53.0,4871.0
17,1800,6,57.0,4837.0
17,1800,7,58.0,4814.0
18,1900,1,47.0,5067.0
18,1900,2,48.0,5044.0
18,1900,3,50.0,4998.0
18,1900,4,51.0,4946.0
18,1900,5,52.0,4923.0
18,1900,6,53.0,4871.0
18,1900,7,55.0,4825.0
18,1900,8,57.0,4808.0
19,2000,1,47.0,5067.0
19,2000,2,48.0,5044.0
19,2000,3,50.0,4998.0
19,2000,4,51.0,4888.0
19,2000,5,53.0,4871.0
19,2000,6,55.0,4825.0
19,2000,7,57.0,4808.0
20,2100,1,47.0,5067.0
20,2100,2,48.0,5044.0
20,2100,3,50.0,4998.0
20,2100,4,51.0,4888.0
20,2100,5,52.0,4865.0
20,2100,6,55.0,4825.0
20,2100,7,57.0,4808.0
21,2200,1,47.0,5067.0
21,2200,2,48.0,5044.0
21,2200,3,49.0,4934.0
21,2200,4,51.0,4888.0
21,2200,5,52.0,4865.0
21,2200,6,53.0,4813.0
21,2200,7,57.0,4808.0
22,2300,1,47.0,5067.0
22,2300,2,48.0,4986.0
22,2300,3,49.0,4934.0
22,2300,4,51.0,4888.0
22,2300,5,52.0,4865.0
22,2300,6,53.0,4813.0
22,2300,7,57.0,4808.0
23,2400,1,47.0,5067.0
23,2400,2,48.0,4986.0
23,2400,3,49.0,4934.0
23,2400,4,51.0,4888.0
23,2400,5,52.0,4865.0
23,2400,6,53.0,4813.0
23,2400,7,57.0,4808.0
24,2500,1,47.0,5067.0
24,2500,2,48.0,4986.0
24,2500,3,49.0,4934.0
24,2500,4,50.0,4911.0
24,2500,5,51.0,4859.0
24,2500,6,52.0,4836.0
24,2500,7,53.0,4813.0
24,2500,8,57.0,4808.0
25,2600,1,47.0,5067.0
25,2600,2,48.0,4986.0
