generation,fe,point_id,makespan,energy
0,100,1,67.0,5970.0
0,100,2,79.0,5810.0
1,200,1,66.0,6196.0
1,200,2,67.0,5970.0
1,200,3,71.0,5675.0
2,300,1,63.0,5975.0
2,300,2,67.0,5970.0
2,300,3,71.0,5675.0
3,400,1,63.0,5975.0
3,400,2,67.0,5970.0
3,400,3,68.0,5657.0
3,400,4,72.0,5623.0
3,400,5,74.0,5577.0
4,500,1,58.0,5394.0
4,500,2,67.0,5303.0
4,500,3,75.0,5293.0
5,600,1,58.0,5394.0
5,600,2,59.0,5342.0
5,600,3,67.0,5303.0
5,600,4,75.0,5293.0
6,700,1,54.0,5283.0
6,700,2,62.0,5273.0
6,700,3,68.0,5251.0
6,700,4,75.0,5090.0
7,800,1,51.0,5323.0
7,800,2,54.0,5283.0
7,800,3,60.0,5232.0
7,800,4,64.0,5227.0
7,800,5,66.0,5210.0
7,800,6,68.0,5106.0
7,800,7,74.0,5084.0
8,900,1,51.0,5323.0
8,900,2,53.0,5161.0
8,900,3,55.0,5086.0
8,900,4,70.0,5060.0
9,1000,1,51.0,5178.0
9,1000,2,53.0,5161.0
9,1000,3,54.0,5051.0
9,1000,4,72.0,5043.0
10,1100,1,50.0,5375.0
10,1100,2,51.0,5178.0
10,1100,3,52.0,4923.0
11,1200,1,49.0,5021.0
11,1200,2,52.0,4923.0
11,1200,3,57.0,4866.0
12,1300,1,49.0,5021.0
12,1300,2,50.0,4998.0
12,1300,3,51.0,4946.0
12,1300,4,52.0,4923.0
12,1300,5,57.0,4866.0
13,1400,1,49.0,5021.0
13,1400,2,50.0,4940.0
13,1400,3,52.0,4836.0
13,1400,4,56.0,4831.0
13,1400,5,59.0,4820.0
14,1500,1,48.0,5131.0
14,1500,2,49.0,5021.0
14,1500,3,50.0,4940.0
14,1500,4,52.0,4836.0
14,1500,5,56.0,4831.0
14,1500,6,59.0,4820.0
15,1600,1,48.0,5131.0
15,1600,2,49.0,5021.0
15,1600,3,50.0,4824.0
15,1600,4,56.0,4802.0
16,1700,1,48.0,4986.0
16,1700,2,49.0,4963.0
16,1700,3,50.0,4824.0
16,1700,4,51.0,4801.0
16,1700,5,52.0,4778.0
17,1800,1,45.0,4910.0
17,1800,2,50.0,4824.0
17,1800,3,51.0,4801.0
17,1800,4,52.0,4778.0
18,1900,1,45.0,4910.0
18,1900,2,50.0,4824.0
18,1900,3,51.0,4772.0
19,2000,1,45.0,4910.0
19,2000,2,49.0,4905.0
19,2000,3,50.0,4824.0
19,2000,4,51.0,4772.0
20,2100,1,45.0,4910.0
20,2100,2,46.0,4858.0
20,2100,3,48.0,4841.0
20,2100,4,50.0,4824.0
20,2100,5,51.0,4772.0
21,2200,1,45.0,4852.0
21,2200,2,48.0,4841.0
21,2200,3,50.0,4824.0
21,2200,4,51.0,4772.0
22,2300,1,45.0,4852.0
22,2300,2,48.0,4841.0
22,2300,3,50.0,4824.0
22,2300,4,51.0,4772.0
23,2400,1,45.0,4852.0
23,2400,2,46.0,4829.0
23,2400,3,50.0,4795.0
23,2400,4,51.0,4772.0
24,2500,1,45.0,4852.0
24,2500,2,46.0,4829.0
24,2500,3,48.0,4754.0
24,2500,4,51.0,4743.0
25,2600,1,45.0,4852.0
25,2600,2,46.0,4829.0
25,2600,3,48.0,4754.0
25,2600,4,51.0,4743.0
26,2700,1,45.0,4852.0
26,2700,2,46.0,4829.0
26,2700,3,48.0,4754.0
26,2700,4,51.0,4743.0
27,2800,1,45.0,4852.0
27,2800,2,46.0,4829.0
27,2800,3,48.0,4754.0
27,2800,4,51.0,4743.0
