generation,fe,point_id,makespan,energy
0,100,1,66.0,6573.0
0,100,2,69.0,6301.0
0,100,3,71.0,6052.0
1,200,1,66.0,6573.0
1,200,2,69.0,6301.0
1,200,3,71.0,6052.0
1,200,4,80.0,5932.0
2,300,1,66.0,6312.0
2,300,2,68.0,6150.0
2,300,3,69.0,5924.0
2,300,4,73.0,5629.0
2,300,5,77.0,5624.0
3,400,1,58.0,6148.0
3,400,2,62.0,5534.0
4,500,1,58.0,5974.0
4,500,2,60.0,5638.0
4,500,3,62.0,5534.0
4,500,4,63.0,5482.0
5,600,1,58.0,5974.0
5,600,2,59.0,5864.0
5,600,3,60.0,5638.0
5,600,4,62.0,5534.0
5,600,5,63.0,5482.0
5,600,6,67.0,5448.0
6,700,1,56.0,5411.0
6,700,2,62.0,5215.0
7,800,1,56.0,5411.0
7,800,2,62.0,5215.0
8,900,1,52.0,5300.0
8,900,2,61.0,5267.0
8,900,3,62.0,5215.0
8,900,4,69.0,5199.0
8,900,5,71.0,5182.0
9,1000,1,52.0,5300.0
9,1000,2,55.0,5173.0
9,1000,3,57.0,5156.0
9,1000,4,59.0,5110.0
9,1000,5,62.0,4983.0
10,1100,1,52.0,5300.0
10,1100,2,54.0,5138.0
10,1100,3,57.0,5040.0
10,1100,4,62.0,4983.0
11,1200,1,52.0,5300.0
11,1200,2,54.0,5109.0
11,1200,3,55.0,4999.0
11,1200,4,58.0,4988.0
11,1200,5,62.0,4983.0
12,1300,1,51.0,5178.0
12,1300,2,53.0,5103.0
12,1300,3,55.0,4970.0
12,1300,4,62.0,4896.0
13,1400,1,51.0,5178.0
13,1400,2,52.0,4981.0
13,1400,3,55.0,4970.0
13,1400,4,58.0,4930.0
13,1400,5,62.0,4896.0
14,1500,1,51.0,5178.0
14,1500,2,52.0,4981.0
14,1500,3,53.0,4958.0
14,1500,4,54.0,4935.0
14,1500,5,57.0,4924.0
14,1500,6,59.0,4849.0
15,1600,1,50.0,4998.0
15,1600,2,51.0,4975.0
15,1600,3,53.0,4958.0
15,1600,4,54.0,4935.0
15,1600,5,57.0,4924.0
15,1600,6,58.0,4872.0
15,1600,7,59.0,4849.0
16,1700,1,50.0,4998.0
16,1700,2,51.0,4975.0
16,1700,3,52.0,4923.0
16,1700,4,53.0,4900.0
16,1700,5,56.0,4831.0
16,1700,6,59.0,4820.0
16,1700,7,61.0,4803.0
17,1800,1,50.0,4998.0
17,1800,2,51.0,4888.0
17,1800,3,52.0,4778.0
18,1900,1,50.0,4998.0
18,1900,2,51.0,4859.0
18,1900,3,52.0,4778.0
19,2000,1,50.0,4998.0
19,2000,2,51.0,4859.0
19,2000,3,52.0,4778.0
19,2000,4,55.0,4767.0
20,2100,1,50.0,4969.0
20,2100,2,51.0,4830.0
20,2100,3,52.0,4778.0
20,2100,4,53.0,4755.0
21,2200,1,50.0,4969.0
21,2200,2,51.0,4830.0
21,2200,3,52.0,4778.0
21,2200,4,53.0,4755.0
22,2300,1,50.0,4824.0
22,2300,2,52.0,4778.0
22,2300,3,53.0,4755.0
23,2400,1,50.0,4824.0
23,2400,2,51.0,4772.0
23,2400,3,52.0,4749.0
24,2500,1,47.0,4980.0
24,2500,2,50.0,4824.0
24,2500,3,51.0,4772.0
24,2500,4,52.0,4749.0
25,2600,1,47.0,4806.0
25,2600,2,48.0,4783.0
25,2600,3,51.0,4772.0
25,2600,4,52.0,4749.0
26,2700,1,46.0,4742.0
27,2800,1,46.0,4742.0
27,2800,2,50.0,4737.0
28,2900,1,46.0,4742.0
28,2900,2,48.0,4725.0
29,3000,1,46.0,4742.0
29,3000,2,48.0,4725.0
30,3100,1,46.0,4742.0
30,3100,2,48.0,4725.0
31,3200,1,46.0,4742.0
31,3200,2,48.0,4725.0
32,3300,1,46.0,4742.0
32,3300,2,48.0,4725.0
33,3400,1,46.0,4742.0
33,3400,2,48.0,4725.0
34,3500,1,46.0,4742.0
34,3500,2,48.0,4725.0
35,3600,1,46.0,4742.0
35,3600,2,48.0,4725.0
36,3700,1,46.0,4742.0
36,3700,2,48.0,4725.0
37,3800,1,46.0,4742.0
37,3800,2,48.0,4725.0
38,3900,1,46.0,4742.0
38,3900,2,48.0,4725.0
39,4000,1,46.0,4742.0
39,4000,2,48.0,4725.0
40,4100,1,46.0,4742.0
40,4100,2,48.0,4725.0
41,4200,1,46.0,4742.0
41,4200,2,48.0,4725.0
42,4300,1,46.0,4742.0
42,4300,2,48.0,4725.0
43,4400,1,46.0,4742.0
43,4400,2,48.0,4725.0
44,4500,1,46.0,4742.0
44,4500,2,48.0,4725.0
45,4600,1,46.0,4742.0
45,4600,2,48.0,4725.0
46,4700,1,46.0,4742.0
46,4700,2,48.0,4725.0
47,4800,1,46.0,4742.0
47,4800,2,48.0,4725.0
48,4900,1,46.0,4742.0
48,4900,2,48.0,4725.0
49,5000,1,46.0,4742.0
49,5000,2,48.0,4725.0
50,5100,1,46.0,4742.0
50,5100,2,48.0,4725.0
51,5200,1,46.0,4742.0
51,5200,2,48.0,4725.0
52,5300,1,46.0,4742.0
52,5300,2,48.0,4725.0
53,5400,1,46.0,4742.0
53,5400,2,48.0,4725.0
54,5500,1,46.0,4742.0
54,5500,2,48.0,4725.0
55,5600,1,46.0,4742.0
55,5600,2,48.0,4725.0
56,5700,1,46.0,4742.0
56,5700,2,48.0,4725.0
57,5800,1,46.0,4742.0
57,5800,2,48.0,4725.0
58,5900,1,46.0,4742.0
58,5900,2,48.0,4725.0
59,6000,1,46.0,4742.0
59,6000,2,48.0,4725.0
60,6100,1,46.0,4742.0
60,6100,2,48.0,4725.0
61,6200,1,46.0,4742.0
61,6200,2,48.0,4725.0
62,6300,1,46.0,4742.0
62,6300,2,48.0,4725.0
63,6400,1,46.0,4742.0
63,6400,2,48.0,4725.0
64,6500,1,46.0,4742.0
64,6500,2,48.0,4725.0
65,6600,1,46.0,4742.0
65,6600,2,48.0,4725.0
66,6700,1,46.0,4742.0
66,6700,2,48.0,4725.0
67,6800,1,46.0,4742.0
67,6800,2,48.0,4725.0
68,6900,1,46.0,4742.0
68,6900,2,48.0,4725.0
69,7000,1,45.0,4794.0
69,7000,2,46.0,4742.0
69,7000,3,48.0,4725.0
70,7100,1,45.0,4794.0
70,7100,2,46.0,4742.0
70,7100,3,48.0,4725.0
71,7200,1,45.0,4794.0
71,7200,2,46.0,4742.0
71,7200,3,48.0,4725.0
72,7300,1,45.0,4794.0
72,7300,2,46.0,4742.0
72,7300,3,48.0,4725.0
73,7400,1,45.0,4794.0
73,7400,2,46.0,4742.0
73,7400,3,48.0,4725.0
74,7500,1,45.0,4794.0
74,7500,2,46.0,4742.0
74,7500,3,48.0,4725.0
75,7600,1,45.0,4794.0
75,7600,2,46.0,4742.0
75,7600,3,48.0,4725.0
76,7700,1,45.0,4794.0
76,7700,2,46.0,4742.0
76,7700,3,48.0,4725.0
77,7800,1,45.0,4794.0
77,7800,2,46.0,4742.0
77,7800,3,48.0,4725.0
78,7900,1,45.0,4794.0
78,7900,2,46.0,4742.0
78,7900,3,48.0,4725.0
79,8000,1,45.0,4794.0
79,8000,2,46.0,4742.0
79,8000,3,48.0,4725.0
80,8100,1,45.0,4794.0
80,8100,2,46.0,4742.0
80,8100,3,48.0,4725.0
81,8200,1,45.0,4794.0
81,8200,2,46.0,4742.0
81,8200,3,48.0,4725.0
82,8300,1,45.0,4794.0
82,8300,2,46.0,4742.0
82,8300,3,48.0,4725.0
83,8400,1,45.0,4794.0
83,8400,2,46.0,4742.0
83,8400,3,48.0,4725.0
84,8500,1,45.0,4794.0
84,8500,2,46.0,4742.0
84,8500,3,48.0,4725.0
85,8600,1,45.0,4794.0
85,8600,2,46.0,4742.0
85,8600,3,48.0,4725.0
86,8700,1,44.0,4846.0
86,8700,2,45.0,4794.0
86,8700,3,46.0,4742.0
86,8700,4,48.0,4725.0
87,8800,1,44.0,4846.0
87,8800,2,45.0,4794.0
87,8800,3,46.0,4742.0
87,8800,4,48.0,4725.0
88,8900,1,44.0,4846.0
88,8900,2,45.0,4794.0
