generation,fe,point_id,makespan,energy
0,100,1,72.0,6319.0
0,100,2,81.0,6199.0
0,100,3,93.0,6184.0
1,200,1,65.0,6219.0
1,200,2,68.0,6092.0
2,300,1,65.0,6219.0
2,300,2,68.0,6092.0
2,300,3,69.0,5895.0
2,300,4,71.0,5820.0
3,400,1,63.0,6207.0
3,400,2,66.0,6080.0
3,400,3,69.0,5895.0
3,400,4,71.0,5820.0
3,400,5,76.0,5792.0
4,500,1,57.0,5707.0
4,500,2,59.0,5690.0
4,500,3,65.0,5552.0
4,500,4,70.0,5466.0
5,600,1,57.0,5417.0
5,600,2,61.0,5354.0
6,700,1,55.0,5637.0
6,700,2,56.0,5614.0
6,700,3,57.0,5417.0
6,700,4,59.0,5342.0
7,800,1,53.0,5451.0
7,800,2,54.0,5225.0
8,900,1,53.0,5451.0
8,900,2,54.0,5225.0
8,900,3,61.0,5209.0
8,900,4,64.0,5140.0
9,1000,1,53.0,5248.0
9,1000,2,54.0,5225.0
9,1000,3,60.0,5000.0
10,1100,1,53.0,5248.0
10,1100,2,54.0,5225.0
10,1100,3,58.0,5046.0
10,1100,4,60.0,5000.0
11,1200,1,51.0,5381.0
11,1200,2,52.0,5184.0
11,1200,3,53.0,5132.0
11,1200,4,56.0,5063.0
11,1200,5,58.0,5046.0
11,1200,6,60.0,5000.0
11,1200,7,61.0,4977.0
12,1300,1,48.0,5305.0
12,1300,2,51.0,5178.0
12,1300,3,52.0,4923.0
13,1400,1,48.0,5305.0
13,1400,2,50.0,5230.0
13,1400,3,51.0,4946.0
13,1400,4,52.0,4923.0
13,1400,5,61.0,4890.0
14,1500,1,48.0,5305.0
14,1500,2,50.0,5056.0
14,1500,3,51.0,4946.0
14,1500,4,52.0,4923.0
14,1500,5,53.0,4842.0
15,1600,1,48.0,5305.0
15,1600,2,49.0,4847.0
15,1600,3,53.0,4842.0
16,1700,1,48.0,5305.0
16,1700,2,49.0,4847.0
16,1700,3,53.0,4842.0
16,1700,4,58.0,4814.0
17,1800,1,48.0,4986.0
17,1800,2,49.0,4847.0
17,1800,3,51.0,4830.0
17,1800,4,58.0,4814.0
18,1900,1,48.0,4986.0
18,1900,2,49.0,4818.0
18,1900,3,53.0,4813.0
19,2000,1,47.0,4835.0
19,2000,2,49.0,4760.0
20,2100,1,47.0,4835.0
20,2100,2,49.0,4760.0
21,2200,1,47.0,4835.0
21,2200,2,49.0,4760.0
21,2200,3,51.0,4743.0
22,2300,1,47.0,4835.0
22,2300,2,49.0,4760.0
22,2300,3,51.0,4743.0
23,2400,1,47.0,4835.0
23,2400,2,48.0,4812.0
23,2400,3,49.0,4760.0
23,2400,4,51.0,4743.0
24,2500,1,47.0,4748.0
24,2500,2,51.0,4743.0
25,2600,1,47.0,4748.0
25,2600,2,51.0,4743.0
26,2700,1,47.0,4748.0
26,2700,2,49.0,4731.0
27,2800,1,47.0,4748.0
27,2800,2,49.0,4731.0
28,2900,1,47.0,4748.0
28,2900,2,49.0,4731.0
29,3000,1,47.0,4748.0
29,3000,2,49.0,4731.0
30,3100,1,47.0,4748.0
30,3100,2,49.0,4731.0
31,3200,1,47.0,4748.0
31,3200,2,49.0,4731.0
32,3300,1,47.0,4748.0
32,3300,2,49.0,4731.0
33,3400,1,47.0,4748.0
33,3400,2,49.0,4731.0
34,3500,1,47.0,4748.0
34,3500,2,49.0,4731.0
35,3600,1,47.0,4748.0
35,3600,2,49.0,4731.0
36,3700,1,47.0,4748.0
36,3700,2,49.0,4731.0
37,3800,1,47.0,4748.0
37,3800,2,49.0,4731.0
38,3900,1,47.0,4748.0
38,3900,2,49.0,4731.0
39,4000,1,47.0,4748.0
39,4000,2,49.0,4731.0
40,4100,1,47.0,4748.0
40,4100,2,49.0,4731.0
41,4200,1,47.0,4748.0
41,4200,2,49.0,4731.0
42,4300,1,46.0,4858.0
42,4300,2,47.0,4748.0
42,4300,3,49.0,4731.0
43,4400,1,46.0,4858.0
43,4400,2,47.0,4748.0
43,4400,3,49.0,4731.0
44,4500,1,46.0,4858.0
44,4500,2,47.0,4748.0
44,4500,3,49.0,4731.0
45,4600,1,46.0,4858.0
45,4600,2,47.0,4748.0
45,4600,3,49.0,4731.0
46,4700,1,46.0,4858.0
46,4700,2,47.0,4748.0
46,4700,3,49.0,4731.0
47,4800,1,46.0,4858.0
47,4800,2,47.0,4748.0
47,4800,3,49.0,4731.0
48,4900,1,46.0,4858.0
48,4900,2,47.0,4748.0
48,4900,3,49.0,4731.0
49,5000,1,46.0,4858.0
49,5000,2,47.0,4748.0
49,5000,3,49.0,4731.0
50,5100,1,46.0,4800.0
50,5100,2,47.0,4748.0
50,5100,3,49.0,4731.0
51,5200,1,46.0,4800.0
51,5200,2,47.0,4748.0
51,5200,3,49.0,4731.0
52,5300,1,46.0,4800.0
52,5300,2,47.0,4748.0
52,5300,3,49.0,4731.0
53,5400,1,46.0,4771.0
53,5400,2,47.0,4748.0
53,5400,3,49.0,4731.0
54,5500,1,46.0,4771.0
54,5500,2,47.0,4748.0
54,5500,3,49.0,4731.0
55,5600,1,46.0,4771.0
55,5600,2,47.0,4748.0
55,5600,3,49.0,4731.0
56,5700,1,46.0,4771.0
56,5700,2,47.0,4748.0
56,5700,3,49.0,4731.0
57,5800,1,46.0,4771.0
57,5800,2,47.0,4748.0
57,5800,3,49.0,4731.0
58,5900,1,46.0,4771.0
58,5900,2,47.0,4748.0
58,5900,3,49.0,4731.0
59,6000,1,46.0,4771.0
59,6000,2,47.0,4748.0
59,6000,3,49.0,4731.0
60,6100,1,46.0,4771.0
60,6100,2,47.0,4748.0
60,6100,3,49.0,4731.0
61,6200,1,46.0,4771.0
61,6200,2,47.0,4748.0
61,6200,3,49.0,4731.0
62,6300,1,46.0,4771.0
62,6300,2,47.0,4748.0
62,6300,3,49.0,4731.0
63,6400,1,46.0,4771.0
63,6400,2,47.0,4748.0
63,6400,3,49.0,4731.0
64,6500,1,46.0,4771.0
64,6500,2,47.0,4748.0
64,6500,3,49.0,4731.0
65,6600,1,46.0,4771.0
65,6600,2,47.0,4719.0
66,6700,1,46.0,4771.0
66,6700,2,47.0,4719.0
67,6800,1,46.0,4771.0
67,6800,2,47.0,4719.0
68,6900,1,46.0,4771.0
68,6900,2,47.0,4719.0
69,7000,1,46.0,4742.0
69,7000,2,47.0,4719.0
70,7100,1,46.0,4742.0
70,7100,2,47.0,4719.0
71,7200,1,46.0,4742.0
71,7200,2,47.0,4719.0
72,7300,1,46.0,4742.0
72,7300,2,47.0,4719.0
73,7400,1,46.0,4742.0
73,7400,2,47.0,4719.0
74,7500,1,46.0,4742.0
74,7500,2,47.0,4719.0
75,7600,1,46.0,4713.0
76,7700,1,46.0,4713.0
77,7800,1,46.0,4713.0
78,7900,1,46.0,4713.0
79,8000,1,46.0,4713.0
80,8100,1,45.0,4794.0
80,8100,2,46.0,4713.0
81,8200,1,45.0,4794.0
81,8200,2,46.0,4713.0
82,8300,1,45.0,4765.0
82,8300,2,46.0,4713.0
83,8400,1,45.0,4765.0
83,8400,2,46.0,4713.0
84,8500,1,45.0,4765.0
84,8500,2,46.0,4713.0
85,8600,1,45.0,4765.0
85,8600,2,46.0,4713.0
86,8700,1,45.0,4765.0
86,8700,2,46.0,4713.0
87,8800,1,45.0,4765.0
87,8800,2,46.0,4713.0
88,8900,1,45.0,4765.0
88,8900,2,46.0,4713.0
89,9000,1,45.0,4765.0
89,9000,2,46.0,4713.0
90,9100,1,45.0,4765.0
90,9100,2,46.0,4713.0
91,9200,1,45.0,4765.0
91,9200,2,46.0,4713.0
92,9300,1,45.0,4765.0
92,9300,2,46.0,4713.0
93,9400,1,45.0,4765.0
93,9400,2,46.0,4713.0
94,9500,1,45.0,4765.0
94,9500,2,46.0,4713.0
95,9600,1,45.0,4765.0
95,9600,2,46.0,4713.0
96,9700,1,45.0,4765.0
96,9700,2,46.0,4713.0
97,9800,1,45.0,4765.0
97,9800,2,46.0,4713.0
98,9900,1,45.0,4765.0
98,9900,2,46.0,4713.0
99,10000,1,45.0,4765.0
99,10000,2,46.0,4713.0
100,10100,1,45.0,4765.0
100,10100,2,46.0,4713.0
101,10200,1,45.0,4765.0
101,10200,2,46.0,4713.0
102,10300,1,45.0,4765.0
102,10300,2,46.0,4713.0
103,10400,1,45.0,4765.0
103,10400,2,46.0,4713.0
104,10500,1,45.0,4765.0
104,10500,2,46.0,4713.0
105,10600,1,45.0,4765.0
105,10600,2,46.0,4713.0
106,10700,1,45.0,4765.0
106,10700,2,46.0,4713.0
107,10800,1,45.0,4765.0
107,10800,2,46.0,4713.0
108,10900,1,45.0,4765.0
108,10900,2,46.0,4713.0
109,11000,1,45.0,4765.0
109,11000,2,46.0,4713.0
110,11100,1,45.0,4765.0
110,11100,2,46.0,4713.0
111,11200,1,45.0,4765.0
111,11200,2,46.0,4713.0
112,11300,1,45.0,4765.0
112,11300,2,46.0,4713.0
113,11400,1,45.0,4765.0
113,11400,2,46.0,4713.0
114,11500,1,45.0,4765.0
114,11500,2,46.0,4713.0
115,11600,1,45.0,4765.0
115,11600,2,46.0,4713.0
116,11700,1,45.0,4765.0
116,11700,2,46.0,4713.0
117,11800,1,45.0,4765.0
117,11800,2,46.0,4713.0
118,11900,1,45.0,4765.0
118,11900,2,46.0,4713.0
119,12000,1,45.0,4765.0
119,12000,2,46.0,4713.0
120,12100,1,44.0,4817.0
120,12100,2,45.0,4765.0
120,12100,3,46.0,4713.0
121,12200,1,44.0,4817.0
121,12200,2,45.0,4765.0
121,12200,3,46.0,4713.0
122,12300,1,44.0,4817.0
122,12300,2,45.0,4765.0
122,12300,3,46.0,4713.0
123,12400,1,44.0,4817.0
123,12400,2,45.0,4765.0
123,12400,3,46.0,4713.0
124,12500,1,44.0,4817.0
124,12500,2,45.0,4765.0
124,12500,3,46.0,4713.0
125,12600,1,44.0,4817.0
125,12600,2,45.0,4765.0
125,12600,3,46.0,4713.0
126,12700,1,44.0,4817.0
126,12700,2,45.0,4765.0
126,12700,3,46.0,4713.0
127,12800,1,44.0,4817.0
127,12800,2,45.0,4765.0
127,12800,3,46.0,4713.0
128,12900,1,44.0,4817.0
128,12900,2,45.0,4765.0
128,12900,3,46.0,4713.0
129,13000,1,44.0,4817.0
129,13000,2,45.0,4765.0
129,13000,3,46.0,4713.0
130,13100,1,44.0,4817.0
130,13100,2,45.0,4765.0
130,13100,3,46.0,4713.0
131,13200,1,44.0,4817.0
131,13200,2,45.0,4765.0
131,13200,3,46.0,4713.0
132,13300,1,44.0,4817.0
132,13300,2,45.0,4765.0
132,13300,3,46.0,4713.0
133,13400,1,44.0,4817.0
133,13400,2,45.0,4765.0
133,13400,3,46.0,4713.0
134,13500,1,44.0,4817.0
134,13500,2,45.0,4765.0
134,13500,3,46.0,4713.0
135,13600,1,44.0,4817.0
135,13600,2,45.0,4765.0
135,13600,3,46.0,4713.0
136,13700,1,44.0,4817.0
136,13700,2,45.0,4765.0
136,13700,3,46.0,4713.0
137,13800,1,44.0,4817.0
137,13800,2,45.0,4765.0
137,13800,3,46.0,4713.0
138,13900,1,44.0,4817.0
138,13900,2,45.0,4765.0
138,13900,3,46.0,4713.0
139,14000,1,44.0,4817.0
139,14000,2,45.0,4765.0
139,14000,3,46.0,4713.0
140,14100,1,44.0,4817.0
140,14100,2,45.0,4765.0
140,14100,3,46.0,4713.0
141,14200,1,44.0,4817.0
141,14200,2,45.0,4765.0
141,14200,3,46.0,4713.0
142,14300,1,44.0,4817.0
142,14300,2,45.0,4765.0
142,14300,3,46.0,4713.0
143,14400,1,44.0,4817.0
143,14400,2,45.0,4765.0
143,14400,3,46.0,4713.0
144,14500,1,44.0,4817.0
144,14500,2,45.0,4765.0
144,14500,3,46.0,4713.0
145,14600,1,44.0,4817.0
145,14600,2,45.0,4765.0
145,14600,3,46.0,4713.0
146,14700,1,44.0,4817.0
146,14700,2,45.0,4765.0
146,14700,3,46.0,4713.0
147,14800,1,44.0,4817.0
147,14800,2,45.0,4765.0
147,14800,3,46.0,4713.0
148,14900,1,44.0,4817.0
148,14900,2,45.0,4765.0
148,14900,3,46.0,4713.0
149,15000,1,44.0,4817.0
149,15000,2,45.0,4765.0
149,15000,3,46.0,4713.0
150,15100,1,44.0,4817.0
150,15100,2,45.0,4765.0
150,15100,3,46.0,4713.0
151,15200,1,44.0,4817.0
151,15200,2,45.0,4765.0
151,15200,3,46.0,4713.0
152,15300,1,44.0,4817.0
152,15300,2,45.0,4765.0
152,15300,3,46.0,4713.0
153,15400,1,44.0,4817.0
153,15400,2,45.0,4765.0
153,15400,3,46.0,4713.0
154,15500,1,44.0,4817.0
154,15500,2,45.0,4765.0
154,15500,3,46.0,4713.0
155,15600,1,44.0,4817.0
155,15600,2,45.0,4765.0
155,15600,3,46.0,4713.0
156,15700,1,44.0,4817.0
156,15700,2,45.0,4765.0
156,15700,3,46.0,4713.0
157,15800,1,44.0,4817.0
157,15800,2,45.0,4765.0
157,15800,3,46.0,4713.0
158,15900,1,44.0,4817.0
158,15900,2,45.0,4765.0
158,15900,3,46.0,4713.0
159,16000,1,44.0,4817.0
159,16000,2,45.0,4765.0
159,16000,3,46.0,4713.0
160,16100,1,44.0,4817.0
160,16100,2,45.0,4765.0
160,16100,3,46.0,4713.0
161,16200,1,44.0,4817.0
161,16200,2,45.0,4765.0
161,16200,3,46.0,4713.0
162,16300,1,44.0,4817.0
162,16300,2,45.0,4765.0
162,16300,3,46.0,4713.0
163,16400,1,44.0,4817.0
163,16400,2,45.0,4765.0
163,16400,3,46.0,4713.0
164,16500,1,44.0,4817.0
164,16500,2,45.0,4765.0
164,16500,3,46.0,4713.0
165,16600,1,44.0,4817.0
165,16600,2,45.0,4765.0
165,16600,3,46.0,4713.0
166,16700,1,44.0,4817.0
166,16700,2,45.0,4765.0
166,16700,3,46.0,4713.0
167,16800,1,44.0,4817.0
167,16800,2,45.0,4765.0
167,16800,3,46.0,4713.0
168,16900,1,44.0,4817.0
168,16900,2,45.0,4765.0
168,16900,3,46.0,4713.0
169,17000,1,44.0,4817.0
169,17000,2,45.0,4765.0
169,17000,3,46.0,4713.0
170,17100,1,44.0,4817.0
170,17100,2,45.0,4765.0
170,17100,3,46.0,4713.0
171,17200,1,44.0,4817.0
171,17200,2,45.0,4765.0
171,17200,3,46.0,4713.0
172,17300,1,44.0,4817.0
172,17300,2,45.0,4765.0
172,17300,3,46.0,4713.0
173,17400,1,44.0,4817.0
173,17400,2,45.0,4765.0
173,17400,3,46.0,4713.0
174,17500,1,44.0,4817.0
174,17500,2,45.0,4765.0
174,17500,3,46.0,4713.0
175,17600,1,44.0,4817.0
175,17600,2,45.0,4765.0
175,17600,3,46.0,4713.0
176,17700,1,44.0,4817.0
176,17700,2,45.0,4765.0
176,17700,3,46.0,4713.0
177,17800,1,44.0,4817.0
177,17800,2,45.0,4765.0
177,17800,3,46.0,4713.0
178,17900,1,44.0,4817.0
178,17900,2,45.0,4765.0
178,17900,3,46.0,4713.0
179,18000,1,44.0,4817.0
179,18000,2,45.0,4765.0
179,18000,3,46.0,4713.0
180,18100,1,44.0,4817.0
180,18100,2,45.0,4765.0
180,18100,3,46.0,4713.0
181,18200,1,44.0,4817.0
181,18200,2,45.0,4765.0
181,18200,3,46.0,4713.0
182,18300,1,44.0,4817.0
182,18300,2,45.0,4765.0
182,18300,3,46.0,4713.0
183,18400,1,44.0,4817.0
183,18400,2,45.0,4765.0
183,18400,3,46.0,4713.0
184,18500,1,44.0,4817.0
184,18500,2,45.0,4765.0
184,18500,3,46.0,4713.0
185,18600,1,44.0,4817.0
185,18600,2,45.0,4765.0
185,18600,3,46.0,4713.0
186,18700,1,44.0,4817.0
186,18700,2,45.0,4765.0
186,18700,3,46.0,4713.0
187,18800,1,44.0,4817.0
187,18800,2,45.0,4765.0
187,18800,3,46.0,4713.0
188,18900,1,44.0,4817.0
188,18900,2,45.0,4765.0
188,18900,3,46.0,4713.0
189,19000,1,44.0,4817.0
189,19000,2,45.0,4765.0
189,19000,3,46.0,4713.0
190,19100,1,44.0,4817.0
190,19100,2,45.0,4765.0
190,19100,3,46.0,4713.0
191,19200,1,44.0,4817.0
191,19200,2,45.0,4765.0
191,19200,3,46.0,4713.0
192,19300,1,44.0,4817.0
192,19300,2,45.0,4765.0
192,19300,3,46.0,4713.0
193,19400,1,44.0,4817.0
193,19400,2,45.0,4765.0
193,19400,3,46.0,4713.0
194,19500,1,44.0,4817.0
194,19500,2,45.0,4765.0
194,19500,3,46.0,4713.0
195,19600,1,44.0,4817.0
195,19600,2,45.0,4765.0
195,19600,3,46.0,4713.0
196,19700,1,44.0,4817.0
196,19700,2,45.0,4765.0
196,19700,3,46.0,4713.0
197,19800,1,44.0,4817.0
197,19800,2,45.0,4765.0
197,19800,3,46.0,4713.0
198,19900,1,44.0,4817.0
198,19900,2,45.0,4765.0
198,19900,3,46.0,4713.0
199,20000,1,44.0,4817.0
199,20000,2,45.0,4765.0
199,20000,3,46.0,4713.0
